NAME,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
Alabama,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5033094,5049196,5076181,5117673,5157699
Alaska,730443,737068,736283,737498,741456,739700,735139,731545,733017,734420,734442,736510,740133
Arizona,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7187135,7274078,7377566,7473027,7582384
Arkansas,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3014546,3026870,3047704,3069463,3088354
California,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39521958,39142565,39142414,39198693,39431263
Colorado,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5787129,5814036,5850935,5901339,5957493
Connecticut,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3579918,3606607,3617925,3643023,3675069
Delaware,915179,923576,932487,941252,948921,956823,965479,973764,991928,1005062,1020625,1036423,1051917
Florida,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21592035,21831949,22379312,22904868,23372215
Georgia,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10732888,10792060,10931805,11064432,11180878
Hawaii,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1451252,1447029,1440359,1441387,1446146
Idaho,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1849415,1904848,1944299,1971122,2001619
Illinois,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12799088,12700641,12621821,12642259,12710158
Indiana,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6790497,6815907,6844545,6880131,6924275
Iowa,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3191141,3198613,3202820,3218414,3241488
Kansas,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2938172,2938338,2937324,2951500,2970606
Kentucky,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4508318,4507583,4519233,4550595,4588372
Louisiana,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4652301,4627971,4593687,4588071,4597740
Maine,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1364571,1378931,1390922,1399646,1405012
Maryland,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177935,6179403,6192440,6217062,6263220
Massachusetts,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,6994598,7000474,7022468,7066568,7136171
Michigan,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10072703,10041351,10050877,10083356,10140459
Minnesota,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5710735,5718660,5721621,5753048,5793151
Mississippi,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2958536,2947209,2941939,2943172,2943045
Missouri,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154744,6171374,6179414,6208038,6245466
Montana,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1087230,1106522,1122095,1131302,1137233
Nebraska,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1963387,1964537,1972246,1987864,2005465
Nevada,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3116967,3148141,3176116,3214363,3267467
New Hampshire,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1378756,1387677,1396678,1402199,1409032
New Jersey,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9272794,9270541,9295227,9379642,9500851
New Mexico,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2118606,2117333,2113868,2121164,2130256
New York,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20105171,19848276,19703747,19737367,19867248
North Carolina,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10449652,10564320,10710793,10881189,11046024
North Dakota,701176,722036,737401,754066,754434,754942,758080,762062,779563,777966,781057,789047,796568
Ohio,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11798905,11767344,11777874,11824034,11883304
Oklahoma,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3965415,3992238,4026229,4063882,4095393
Oregon,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4243779,4254280,4247372,4253653,4272371
Pennsylvania,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,12996143,13015571,12984990,13017721,13078751
Rhode Island,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1096530,1097246,1099498,1103429,1112308
South Carolina,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5132249,5194274,5287935,5387830,5478831
South Dakota,833566,842316,849129,853988,862996,872868,878698,884659,887948,896492,909723,918305,924669
Tennessee,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6927904,6965740,7062217,7148304,7227750
Texas,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29239570,29570351,30113488,30727890,31290831
Utah,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3284077,3339738,3391011,3443222,3503613
Vermont,626090,626210,625214,625216,623657,624344,624358,623989,642977,647210,648142,648708,648493
Virginia,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8637615,8658910,8683414,8734685,8811195
Washington,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,7727209,7743760,7794123,7857320,7958180
West Virginia,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1791646,1785618,1774122,1770495,1769979
Wisconsin,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5897375,5881608,5903975,5930405,5960975
Wyoming,576305,582122,582531,585613,584215,578931,577601,578759,577681,579636,581978,585067,587618
